"Iperzola Ponteroncariale","{'Italy': 14}"
"Sangju Sangmu FC#History","{'Korea, Republic of': 36, 'South Korea': 108}"
"Ittihad FC","{'United Arab Emirates': 3, 'Argentina': 24, 'Australia': 6, 'Austria': 2, 'Belgium': 14, 'Bahrain': 2, 'Bosnia and Herzegovina': 2, 'Brazil': 98, 'Chile': 18, 'China': 10, 'Cameroon': 4, 'Congo': 2, 'Colombia': 2, 'Costa Rica': 2, 'Germany': 4, 'Algeria': 4, 'Egypt': 28, 'Spain': 12, 'France': 8, 'Georgia': 3, 'Ghana': 14, 'Guinea': 6, 'Croatia': 22, 'Hungary': 12, 'Iran, Islamic Republic of': 10, 'Iraq': 2, 'Italy': 6, 'Jordan': 2, 'Japan': 18, 'Korea, Republic of': 7, 'Kuwait': 12, 'Lebanon': 2, 'Morocco': 4, 'Monaco': 6, 'Mexico': 2, 'Mali': 4, 'Niger': 4, 'Nigeria': 4, 'Netherlands': 6, 'Oman': 28, 'Peru': 6, 'Poland': 2, 'Portugal': 12, 'Qatar': 20, 'Romania': 33, 'Saudi Arabia': 258, 'Sierra Leone': 4, 'Serbia': 4, 'Slovenia': 6, 'Sweden': 4, 'Syrian Arab Republic': 2, 'Tunisia': 20, 'Uruguay': 4, 'Uzbekistan': 16, 'Venezuela, Bolivarian Republic of': 2, 'South Africa': 2, 'England': 9, 'America': 3, 'Yugoslavia': 3, 'South Korea': 21, 'Russia': 6}"
"Montevideo Wanderers F.C.","{'Argentina': 14, 'Brazil': 4, 'Colombia': 2, 'France': 4, 'Iran, Islamic Republic of': 2, 'Italy': 4, 'Peru': 2, 'Paraguay': 8, 'Qatar': 4, 'Chad': 8, 'Uruguay': 324, 'England': 6, 'America': 33}"
"Bayamón FC","{'Costa Rica': 14, 'Cuba': 2, 'Guatemala': 2, 'Haiti': 6, 'Jamaica': 9, 'Macao': 4, 'Puerto Rico': 156, 'Saint Vincent and the Grenadines': 3}"
"A.C. Prato","{'Italy': 10}"
"Black Stars Basel","{'Switzerland': 12}"
"FC Zbrojovka Brno","{}"
"FC Volov Shumen","{'Bulgaria': 240}"
"Blacktown City FC","{'Australia': 87, 'Croatia': 2, 'Jordan': 2, 'Peru': 4, 'Chad': 2, 'England': 15, 'Scotland': 9, 'Wales': 18}"
"Chemnitzer FC II","{'Germany': 18, 'Oman': 2}"
"Real Murcia CF","{'Spain': 10, 'Iran, Islamic Republic of': 2}"
"PFC Sevastopol","{'Bulgaria': 4, 'Belarus': 2, 'Jersey': 3, 'Ukraine': 48, 'Russia': 30}"
"União Paulista","{'Brazil': 28}"
"SpVgg Erkenschwick","{'Germany': 6}"
"Birmingham City F.C.","{'China': 2, 'United Kingdom': 2, 'Hong Kong': 28, 'Croatia': 2, 'Ireland': 9, 'Jordan': 12, 'Virgin Islands, British': 1, 'England': 30, 'Scotland': 6, 'Northern Ireland': 6, 'America': 3, 'Russia': 15}"
"Club Mariscal Castilla","{'Peru': 32}"
"Cotonsport Garoua","{'Cameroon': 30, 'Egypt': 2, 'France': 10, 'Iran, Islamic Republic of': 1, 'Senegal': 2, 'Chad': 2}"
"Iraklis Thessaloniki F.C.","{'Argentina': 2, 'Austria': 8, 'Bulgaria': 4, 'Brazil': 2, 'Switzerland': 4, 'Cyprus': 8, 'Germany': 10, 'Spain': 10, 'France': 2, 'Georgia': 6, 'Greece': 276, 'Iran, Islamic Republic of': 1, 'Israel': 2, 'Lithuania': 2, 'Malta': 2, 'Netherlands': 4, 'Oman': 14, 'Poland': 6, 'Romania': 3, 'Serbia': 4, 'Slovakia': 4, 'Slovenia': 2, 'Sweden': 6, 'Ukraine': 3, 'Uruguay': 2, 'United States': 3, 'England': 3, 'America': 6, 'Yugoslavia': 39, 'Russia': 3}"
"Heart of Midlothian F.C.","{'Austria': 4, 'Belarus': 2, 'France': 4, 'United Kingdom': 6, 'Jersey': 9, 'Jordan': 10, 'Lithuania': 8, 'Oman': 114, 'Portugal': 2, 'England': 6, 'Scotland': 243, 'Wales': 3, 'America': 6, 'Yugoslavia': 3, 'Russia': 6}"
"Dallas Tornado","{'Canada': 3, 'United Kingdom': 2, 'Greece': 2, 'Hungary': 3, 'Indonesia': 2, 'India': 2, 'Jersey': 9, 'Japan': 3, 'Malta': 2, 'Netherlands': 2, 'Norway': 2, 'Serbia': 2, 'Sweden': 2, 'Chad': 4, 'United States': 2, 'Viet Nam': 1, 'England': 9, 'America': 60, 'Turkey': 3}"
"FC CFR Timișoara","{'Oman': 54, 'Romania': 81}"
"US Città di Palermo","{'Argentina': 2, 'Switzerland': 4, 'Cyprus': 2, 'Czechia': 3, 'Germany': 4, 'Denmark': 2, 'Spain': 4, 'France': 14, 'Israel': 2, 'Italy': 38, 'Jersey': 6, 'Monaco': 2, 'Slovakia': 2, 'Slovenia': 2, 'England': 9, 'America': 9, 'Turkey': 3, 'Russia': 6}"
"FC Rouen","{'Argentina': 2, 'Denmark': 2, 'Algeria': 2, 'France': 104, 'Croatia': 2, 'Iceland': 2, 'Monaco': 4, 'Mali': 2, 'Senegal': 2, 'Serbia': 2}"
"San Diego Toros","{'United States': 2, 'America': 63}"
"Tharros","{'France': 2, 'Italy': 14, 'Oman': 12}"
"LSV Markersdorf an der Pielach","{}"
"FC Porrentruy","{}"
"SV Türkgücü-Ataspor München","{'Germany': 12, 'Turkey': 3}"
"Port Vale F.C.","{'Spain': 4, 'United Kingdom': 2, 'Ireland': 6, 'Jamaica': 6, 'Trinidad and Tobago': 4, 'United States': 2, 'England': 60, 'Wales': 6, 'Northern Ireland': 6}"
"Jeonbuk Hyundai Motors FC","{'Brazil': 2, 'China': 2, 'Ghana': 2, 'Greenland': 9, 'Japan': 12, 'Korea, Republic of': 8, 'Qatar': 2, 'Syrian Arab Republic': 1, 'South Korea': 24}"
"Palermo F.C.","{'Argentina': 2, 'Switzerland': 4, 'Cyprus': 2, 'Czechia': 3, 'Germany': 4, 'Denmark': 2, 'Spain': 4, 'France': 14, 'Israel': 2, 'Italy': 38, 'Jersey': 6, 'Monaco': 2, 'Slovakia': 2, 'Slovenia': 2, 'England': 9, 'America': 9, 'Turkey': 3, 'Russia': 6}"
"Cobreloa","{'Brazil': 2, 'Chile': 292, 'Germany': 2, 'Iran, Islamic Republic of': 1, 'Montenegro': 3, 'Netherlands': 4, 'Chad': 2, 'Uruguay': 8, 'United States': 2, 'America': 15}"
"FK Viktoria Žižkov","{}"
"Querétaro F.C.","{'Jordan': 2, 'Mexico': 24, 'Oman': 6, 'Chad': 2, 'America': 6}"
"C.S.D. Independiente del Valle","{'Argentina': 28, 'Brazil': 2, 'Chile': 6, 'Colombia': 12, 'Ecuador': 128, 'Spain': 8, 'Iceland': 6, 'Portugal': 4, 'Paraguay': 2, 'Uruguay': 2, 'Venezuela, Bolivarian Republic of': 1, 'America': 96}"
"S.S. Lazio","{'Bulgaria': 4, 'China': 6, 'France': 4, 'United Kingdom': 2, 'Greece': 4, 'Italy': 40, 'Jersey': 3, 'Japan': 3, 'Mali': 2, 'Malta': 2, 'Oman': 6, 'Peru': 4}"
"Palermo FC","{'Argentina': 2, 'Switzerland': 4, 'Cyprus': 2, 'Czechia': 3, 'Germany': 4, 'Denmark': 2, 'Spain': 4, 'France': 14, 'Israel': 2, 'Italy': 38, 'Jersey': 6, 'Monaco': 2, 'Slovakia': 2, 'Slovenia': 2, 'England': 9, 'America': 9, 'Turkey': 3, 'Russia': 6}"
"Križovany","{'Slovakia': 2}"
"San Jose Clash","{'Argentina': 2, 'Canada': 24, 'Switzerland': 2, 'Chile': 2, 'Germany': 4, 'Spain': 2, 'Georgia': 3, 'Ireland': 6, 'Jersey': 66, 'Jordan': 2, 'Mexico': 4, 'El Salvador': 2, 'Serbia': 2, 'Sweden': 6, 'United States': 30, 'England': 12, 'Scotland': 6, 'America': 39, 'Yugoslavia': 3}"
"FC Istres","{'France': 10, 'Jordan': 4, 'Mali': 2}"
"Korona Kielce","{'Bulgaria': 2, 'Bosnia and Herzegovina': 2, 'Belarus': 2, 'Canada': 15, 'Costa Rica': 2, 'Czechia': 1, 'Spain': 2, 'Estonia': 2, 'Finland': 2, 'France': 2, 'Georgia': 3, 'Italy': 2, 'Kazakhstan': 2, 'Lithuania': 6, 'Latvia': 2, 'Moldova, Republic of': 1, 'Montenegro': 3, 'New Zealand': 3, 'Poland': 138, 'Senegal': 4, 'Serbia': 2, 'Slovakia': 4, 'Slovenia': 4, 'Ukraine': 3}"
"O.G.C. Nice","{'Argentina': 8, 'Austria': 2, 'Brazil': 4, 'China': 4, 'Colombia': 4, 'Spain': 6, 'France': 120, 'Haiti': 4, 'Israel': 2, 'Italy': 4, 'Jordan': 2, 'Luxembourg': 4, 'Monaco': 2, 'Mali': 8, 'Portugal': 4, 'Senegal': 4, 'Serbia': 4, 'Sweden': 4, 'America': 3, 'Yugoslavia': 18}"
"Ulsan HD FC","{'Greenland': 3, 'Korea, Republic of': 15, 'South Korea': 45}"
"Associação Atlética Ponte Preta","{'Brazil': 138, 'Iran, Islamic Republic of': 1, 'Norway': 4, 'Chad': 2, 'America': 27}"
"Terrassa FC","{'Andorra': 2, 'Argentina': 4, 'Switzerland': 2, 'Dominica': 2, 'Denmark': 2, 'Dominican Republic': 3, 'Spain': 28, 'Italy': 2, 'Niger': 2, 'Nigeria': 2, 'Uruguay': 2}"
"DSV Leoben","{'Austria': 44}"
"Torres Novas","{'Spain': 2, 'France': 2, 'India': 2, 'Oman': 16, 'Portugal': 87, 'Romania': 3}"
"Club Atlético Tembetary","{'Argentina': 6, 'Morocco': 4, 'Paraguay': 52}"
"U.C. Sampdoria","{'Brazil': 2, 'France': 6, 'Iran, Islamic Republic of': 2, 'Italy': 26, 'Jersey': 9, 'Serbia': 2}"
"Al-Duhail SC","{'Qatar': 116, 'Saudi Arabia': 2}"
"AS Lodigiani","{'France': 14, 'Italy': 16, 'Oman': 2}"
"AC Omonia","{'Armenia': 6, 'Austria': 4, 'Belgium': 6, 'Bulgaria': 48, 'Belarus': 2, 'Brazil': 4, 'Cyprus': 194, 'Germany': 10, 'Spain': 4, 'Estonia': 2, 'Georgia': 3, 'Greece': 10, 'Hungary': 3, 'Ireland': 3, 'Israel': 4, 'Moldova, Republic of': 1, 'Mali': 18, 'Netherlands': 6, 'Norway': 4, 'Oman': 10, 'Poland': 2, 'Romania': 6, 'Serbia': 4, 'Slovakia': 2, 'United States': 2, 'England': 9, 'Northern Ireland': 3, 'America': 3, 'Russia': 3}"
"Southport F.C.","{'Australia': 6, 'Ireland': 3, 'Jersey': 3, 'Jordan': 16, 'England': 27, 'Northern Ireland': 3}"
"Pécsi Mecsek FC","{'Switzerland': 2, 'Germany': 4, 'Hungary': 21, 'Italy': 4, 'Netherlands': 4, 'Oman': 2, 'Poland': 2, 'Romania': 3, 'Sweden': 2, 'England': 6, 'Yugoslavia': 6}"
"FC Avangard Kolomna","{'Russia': 18}"
"PFC CSKA Sofia","{'Austria': 10, 'Belgium': 2, 'Bulgaria': 344, 'Bosnia and Herzegovina': 2, 'Brazil': 6, 'Central African Republic': 3, 'Canada': 3, 'Colombia': 6, 'Cuba': 2, 'Germany': 20, 'Algeria': 4, 'Spain': 12, 'France': 6, 'United Kingdom': 4, 'Guadeloupe': 3, 'Gambia': 2, 'Greece': 2, 'India': 2, 'Iran, Islamic Republic of': 2, 'Italy': 20, 'Japan': 3, 'Libya': 6, 'Luxembourg': 2, 'Morocco': 2, 'Moldova, Republic of': 1, 'North Macedonia': 2, 'Netherlands': 8, 'Norway': 6, 'Oman': 10, 'Portugal': 2, 'Romania': 12, 'Saudi Arabia': 2, 'Serbia': 12, 'Suriname': 2, 'Slovenia': 4, 'Sweden': 2, 'United States': 2, 'England': 9, 'America': 3, 'Turkey': 3}"
"Peterborough United F.C.","{'Australia': 3, 'United Kingdom': 2, 'Mali': 2, 'England': 21}"
"ZSJ Technomat Teplice","{'Czechia': 4, 'Oman': 2, 'Russia': 3}"
"FC Vaslui","{'Azerbaijan': 4, 'Bulgaria': 6, 'Bosnia and Herzegovina': 2, 'Brazil': 18, 'Switzerland': 2, 'Cyprus': 2, 'Czechia': 2, 'France': 2, 'Greece': 2, 'Honduras': 2, 'Italy': 4, 'Lithuania': 2, 'Latvia': 2, 'Moldova, Republic of': 4, 'Netherlands': 2, 'Oman': 180, 'Poland': 4, 'Portugal': 4, 'Romania': 246, 'Senegal': 2, 'Serbia': 10, 'Slovakia': 4, 'Zimbabwe': 18, 'Turkey': 3}"
"Iskra Moscow","{}"
"Stevenage F.C.","{'Antigua and Barbuda': 3, 'United Kingdom': 2, 'Guyana': 2, 'Ireland': 3, 'Jordan': 4, 'Tunisia': 6, 'England': 105, 'Scotland': 9, 'Wales': 3, 'Northern Ireland': 3}"
"Hartlepool United F.C.","{'Spain': 4, 'United Kingdom': 6, 'Ireland': 12, 'England': 54, 'Northern Ireland': 3}"
"Central Norte","{'Argentina': 8}"
"SC Toulon","{'France': 14, 'Monaco': 10}"
"Busan IPark","{'Australia': 3, 'Brazil': 2, 'Germany': 2, 'Korea, Republic of': 12, 'Saudi Arabia': 2, 'Yugoslavia': 3, 'South Korea': 36}"
"Tecos UAG","{'Argentina': 18, 'Austria': 2, 'Brazil': 14, 'Chile': 18, 'Cameroon': 2, 'Costa Rica': 4, 'Ecuador': 2, 'Spain': 4, 'Guatemala': 2, 'Honduras': 2, 'Hungary': 3, 'Kenya': 2, 'Mexico': 116, 'Oman': 2, 'Peru': 6, 'Paraguay': 8, 'Serbia': 6, 'Uruguay': 34, 'United States': 4, 'America': 3, 'Yugoslavia': 3}"
"Al-Gharafa SC","{'United Arab Emirates': 12, 'Australia': 6, 'Bahrain': 8, 'Brazil': 12, 'Costa Rica': 4, 'Egypt': 8, 'France': 4, 'Iran, Islamic Republic of': 4, 'Iraq': 8, 'Jordan': 2, 'Kuwait': 8, 'Morocco': 4, 'Mexico': 4, 'Netherlands': 4, 'Oman': 4, 'Portugal': 2, 'Qatar': 188, 'Saudi Arabia': 12, 'Sudan': 2, 'Slovakia': 4, 'Syrian Arab Republic': 1, 'Uzbekistan': 2}"
"USM Alger","{'China': 2, 'Cameroon': 2, 'Algeria': 550, 'Egypt': 2, 'France': 10, 'Ghana': 4, 'Iran, Islamic Republic of': 1, 'Iraq': 18, 'Jersey': 21, 'Libya': 3, 'Morocco': 4, 'Monaco': 4, 'Madagascar': 2, 'Mali': 16, 'Niger': 4, 'Nigeria': 2, 'Tunisia': 4, 'Tanzania, United Republic of': 1, 'United States': 2, 'England': 3}"
"ASV Hohenau","{}"
"Club Atletic Oradea","{'Austria': 6, 'Switzerland': 4, 'Chile': 4, 'France': 8, 'Hungary': 72, 'Oman': 172, 'Romania': 240, 'England': 3, 'Yugoslavia': 6}"
"Hellas Verona","{'Australia': 9, 'Denmark': 6, 'France': 12, 'Greece': 2, 'Italy': 38, 'Jersey': 3, 'Korea, Republic of': 3, 'Mexico': 4, 'Oman': 2, 'Serbia': 6, 'South Korea': 9}"
"FC Raron","{}"
"V-Varen Nagasaki","{'Japan': 99}"
"Dulwich Hamlet F.C.","{'Belgium': 4, 'Spain': 4, 'France': 4, 'England': 21}"
"Al-Sadd Sports Club","{'United Arab Emirates': 3, 'Bosnia and Herzegovina': 6, 'Brazil': 40, 'China': 2, 'Algeria': 6, 'Ecuador': 4, 'Egypt': 2, 'Spain': 10, 'Croatia': 2, 'India': 12, 'Iran, Islamic Republic of': 5, 'Iraq': 16, 'Japan': 15, 'Korea, Republic of': 3, 'Kuwait': 12, 'Lebanon': 4, 'Morocco': 12, 'Mali': 2, 'Malaysia': 3, 'Netherlands': 4, 'Oman': 4, 'Peru': 6, 'Korea, Democratic People\'s Republic of': 1, 'Portugal': 2, 'Qatar': 394, 'Romania': 6, 'Saudi Arabia': 4, 'Sudan': 10, 'Serbia': 2, 'Syrian Arab Republic': 1, 'Uruguay': 6, 'Viet Nam': 1, 'England': 3, 'South Korea': 9, 'North Korea': 3, 'Turkey': 6}"
"Venus București","{'Hungary': 6, 'Oman': 16, 'Romania': 21}"
"ND Gorica","{'Albania': 2, 'Armenia': 2, 'Azerbaijan': 4, 'Belgium': 2, 'Bulgaria': 2, 'Denmark': 4, 'Estonia': 2, 'Finland': 2, 'France': 2, 'Greece': 4, 'Croatia': 4, 'Ireland': 3, 'Iran, Islamic Republic of': 4, 'Israel': 2, 'Italy': 6, 'Monaco': 4, 'Malta': 2, 'Norway': 2, 'Oman': 6, 'Romania': 9, 'Slovenia': 302, 'Wales': 3, 'Northern Ireland': 3, 'Yugoslavia': 6}"
"Jong AZ","{'Netherlands': 4}"
"AFC DWS","{'Netherlands': 10}"
"Club Deportivo Arturo Fernández Vial","{'Argentina': 16, 'Chile': 180, 'Iran, Islamic Republic of': 3, 'Jersey': 9, 'Chad': 4, 'Uruguay': 10}"
"Liga Deportiva Universitaria de Quito","{'Argentina': 4, 'Brazil': 18, 'Chile': 6, 'Colombia': 2, 'Ecuador': 126, 'Jersey': 9, 'Japan': 3, 'Paraguay': 4, 'Uruguay': 6, 'America': 144}"
"Adanaspor","{'Jersey': 3, 'Jordan': 2, 'Mali': 2, 'Turkey': 9}"
"South Melbourne FC","{'Australia': 171, 'Brazil': 10, 'France': 2, 'Greece': 7, 'Croatia': 8, 'Hungary': 3, 'Jersey': 3, 'Jordan': 6, 'Mali': 2, 'Singapore': 12, 'Serbia': 4, 'America': 3, 'Yugoslavia': 6}"
"Al Hilal SFC","{'United Arab Emirates': 3, 'Australia': 12, 'Bangladesh': 2, 'Bahrain': 2, 'Brazil': 8, 'China': 2, 'Colombia': 2, 'Egypt': 2, 'France': 2, 'India': 4, 'Iran, Islamic Republic of': 6, 'Iraq': 2, 'Japan': 9, 'Kazakhstan': 2, 'Korea, Republic of': 3, 'Kuwait': 8, 'Lebanon': 2, 'Morocco': 2, 'Oman': 4, 'Korea, Democratic People\'s Republic of': 1, 'Qatar': 6, 'Saudi Arabia': 66, 'Syrian Arab Republic': 2, 'Thailand': 2, 'Tajikistan': 2, 'Turkmenistan': 3, 'Uzbekistan': 2, 'Yemen': 2, 'Zambia': 2, 'South Korea': 9, 'North Korea': 3, 'Russia': 9}"
"Pas F.C.","{'Bahrain': 6, 'Brazil': 2, 'India': 26, 'Iran, Islamic Republic of': 34, 'Iraq': 2, 'Japan': 3, 'Lebanon': 2, 'Oman': 4, 'Qatar': 4, 'Saudi Arabia': 6, 'Thailand': 2}"
"SD Huesca","{'Argentina': 4, 'Spain': 72, 'Mexico': 2}"
"LA Galaxy","{'Argentina': 6, 'Australia': 6, 'Belgium': 2, 'Brazil': 2, 'Canada': 6, 'Costa Rica': 2, 'Germany': 4, 'Ecuador': 4, 'France': 4, 'Guatemala': 14, 'Guam': 6, 'Ireland': 30, 'Italy': 4, 'Jamaica': 9, 'Jersey': 42, 'Mexico': 18, 'Netherlands': 2, 'New Zealand': 6, 'El Salvador': 2, 'Sweden': 10, 'Uruguay': 4, 'United States': 104, 'Saint Vincent and the Grenadines': 3, 'England': 27, 'America': 48}"
"Club Sport Emelec","{'Argentina': 22, 'Bolivia, Plurinational State of': 1, 'Brazil': 2, 'Ecuador': 116, 'Uruguay': 6, 'United States': 2, 'America': 18}"
"Komárom AC","{}"
"Lille OSC","{'Argentina': 2, 'Belgium': 10, 'Bosnia and Herzegovina': 6, 'Canada': 3, 'Chile': 2, 'Cameroon': 2, 'France': 362, 'Croatia': 2, 'Israel': 2, 'Jersey': 30, 'Luxembourg': 4, 'Monaco': 12, 'Mozambique': 2, 'New Zealand': 6, 'Poland': 2, 'Portugal': 6, 'Senegal': 6, 'Sweden': 2, 'England': 6, 'Turkey': 6}"
"Hertha BSC","{'Brazil': 2, 'Switzerland': 2, 'China': 2, 'Germany': 106, 'Croatia': 6, 'Hungary': 12, 'Jersey': 3, 'Netherlands': 4, 'England': 3, 'Turkey': 3, 'Russia': 15}"
"ADO Den Haag","{'Austria': 6, 'Belgium': 2, 'China': 2, 'Israel': 2, 'Italy': 2, 'Lithuania': 2, 'Mali': 2, 'Montenegro': 3, 'Netherlands': 76, 'Poland': 2, 'Serbia': 2, 'Slovakia': 4, 'England': 9, 'America': 15, 'Yugoslavia': 3}"
"Aris Thessaloniki F.C.","{'Argentina': 8, 'Armenia': 6, 'Austria': 20, 'Belgium': 2, 'Bulgaria': 8, 'Bosnia and Herzegovina': 2, 'Belarus': 2, 'Brazil': 4, 'Switzerland': 2, 'Cyprus': 8, 'Germany': 16, 'Denmark': 2, 'Spain': 16, 'Finland': 2, 'France': 6, 'Georgia': 3, 'Greece': 318, 'Croatia': 2, 'Hungary': 6, 'Israel': 4, 'Italy': 18, 'Kazakhstan': 2, 'Lao People\'s Democratic Republic': 8, 'Moldova, Republic of': 1, 'Malta': 4, 'Netherlands': 2, 'Norway': 4, 'Oman': 6, 'Peru': 12, 'Poland': 8, 'Portugal': 10, 'Sierra Leone': 2, 'Serbia': 6, 'Slovakia': 6, 'Sweden': 2, 'Chad': 4, 'Ukraine': 6, 'Uruguay': 2, 'England': 24, 'America': 6, 'Yugoslavia': 42}"
"RC Strasbourg","{'Armenia': 2, 'Austria': 6, 'Switzerland': 2, 'Germany': 10, 'Spain': 6, 'France': 132, 'India': 6, 'Italy': 2, 'Jersey': 15, 'Luxembourg': 4, 'Monaco': 6, 'Mali': 4, 'Netherlands': 4, 'Paraguay': 8, 'Chad': 4, 'America': 6, 'Yugoslavia': 6, 'Russia': 3}"
"IFK Göteborg","{'Austria': 2, 'Bolivia, Plurinational State of': 1, 'Brazil': 2, 'Denmark': 4, 'Hungary': 3, 'Iceland': 6, 'Jersey': 3, 'Mali': 2, 'Norway': 6, 'Slovakia': 2, 'Sweden': 240, 'England': 6, 'Scotland': 3}"
"Esteghlal FC","{'China': 2, 'Germany': 2, 'Spain': 4, 'India': 20, 'Iran, Islamic Republic of': 120, 'Israel': 6, 'Japan': 3, 'Korea, Republic of': 1, 'Portugal': 2, 'Qatar': 6, 'Saudi Arabia': 4, 'Singapore': 2, 'Turkmenistan': 3, 'South Korea': 3, 'Turkey': 3}"
"C.D. El Nacional","{'Brazil': 4, 'Congo': 2, 'Ecuador': 64, 'Italy': 2, 'Paraguay': 2}"
"Daewoo Royals","{'Australia': 3, 'Brazil': 2, 'Germany': 2, 'Korea, Republic of': 12, 'Saudi Arabia': 2, 'Yugoslavia': 3, 'South Korea': 36}"
"Erzsébeti Spartacus MTK LE","{'Hungary': 15}"
"FC Kazanka Moscow","{'Russia': 99}"
"Rosario Central","{'Argentina': 144, 'Brazil': 8, 'Cuba': 2, 'France': 2, 'Hungary': 3, 'Jersey': 3, 'Chad': 4, 'Uruguay': 10, 'England': 3, 'America': 24, 'Turkey': 3}"
"Club Naucalpan","{}"
"Cruzeiro Esporte Clube","{'Argentina': 18, 'Bolivia, Plurinational State of': 1, 'Brazil': 356, 'China': 2, 'Colombia': 2, 'Ecuador': 2, 'Iran, Islamic Republic of': 3, 'Italy': 6, 'Portugal': 4, 'Chad': 4, 'Uruguay': 6, 'America': 42}"
"Elche CF","{'Andorra': 6, 'Argentina': 38, 'Belgium': 2, 'Brazil': 8, 'Chile': 2, 'Congo': 2, 'Colombia': 2, 'Denmark': 4, 'Spain': 122, 'France': 2, 'Ghana': 4, 'Guinea': 6, 'Equatorial Guinea': 4, 'Honduras': 4, 'Croatia': 2, 'Hungary': 6, 'Morocco': 2, 'Niger': 4, 'Nigeria': 4, 'Norway': 2, 'Oman': 6, 'Peru': 4, 'Poland': 6, 'Portugal': 2, 'Paraguay': 24, 'Romania': 9, 'Serbia': 4, 'Slovakia': 4, 'Uruguay': 10, 'Venezuela, Bolivarian Republic of': 2, 'Yugoslavia': 3}"
"C.S. Emelec","{'Argentina': 22, 'Bolivia, Plurinational State of': 1, 'Brazil': 2, 'Ecuador': 116, 'Uruguay': 6, 'United States': 2, 'America': 18}"
"São Cristóvão de Futebol e Regatas","{'Brazil': 28, 'America': 3}"
"Ventura County Fusion","{'Jordan': 2, 'United States': 2, 'England': 3, 'Scotland': 3, 'America': 9}"
"Platense F.C.","{'Argentina': 10, 'Belize': 12, 'Colombia': 2, 'Costa Rica': 4, 'Guatemala': 12, 'Honduras': 118, 'El Salvador': 2}"
"Cardiff City F.C.","{'Germany': 2, 'France': 2, 'United Kingdom': 4, 'Ireland': 12, 'Iceland': 4, 'Jersey': 18, 'Lao People\'s Democratic Republic': 1, 'Mali': 2, 'Malaysia': 6, 'Norway': 2, 'England': 90, 'Scotland': 24, 'Wales': 471, 'Northern Ireland': 3, 'Turkey': 3}"
"Genoa CFC","{'Argentina': 2, 'Switzerland': 4, 'Czechia': 1, 'Germany': 2, 'Denmark': 2, 'Spain': 4, 'France': 16, 'India': 6, 'Iran, Islamic Republic of': 1, 'Iceland': 2, 'Italy': 150, 'Japan': 6, 'Mali': 2, 'Netherlands': 2, 'Oman': 16, 'Romania': 6, 'Uruguay': 6, 'England': 21}"
"Karlsruher SC","{}"
"MTK Hungária FC","{'Hungary': 24, 'Portugal': 2}"
"Evian Thonon Gaillard F.C.","{'Switzerland': 2, 'France': 64, 'Jordan': 2}"
"São Roque","{'Brazil': 4, 'Portugal': 4}"
"Feyenoord","{'Brazil': 2, 'China': 4, 'Germany': 4, 'Ghana': 8, 'Hungary': 3, 'India': 16, 'Italy': 2, 'Japan': 6, 'Korea, Republic of': 1, 'Monaco': 4, 'Netherlands': 60, 'Oman': 2, 'Poland': 6, 'Romania': 3, 'Sweden': 2, 'England': 6, 'America': 3, 'South Korea': 3, 'Russia': 27}"
"Sligo Rovers F.C.","{'Albania': 4, 'Australia': 3, 'Austria': 2, 'Belgium': 2, 'Benin': 2, 'Cameroon': 2, 'Cyprus': 2, 'Estonia': 2, 'Finland': 2, 'France': 2, 'Ireland': 228, 'Iceland': 4, 'Lithuania': 6, 'Malta': 2, 'Netherlands': 2, 'Norway': 8, 'New Zealand': 3, 'Poland': 2, 'Slovakia': 4, 'Ukraine': 3, 'England': 27, 'Scotland': 18, 'Wales': 3, 'Northern Ireland': 12, 'Yugoslavia': 6}"
"Fleisher Yarn","{'United States': 2, 'America': 27}"
"FC Locarno","{'Switzerland': 22, 'Czechia': 1, 'Germany': 2, 'Hungary': 3, 'Italy': 4}"
"KFC Uerdingen 05","{'Armenia': 4, 'Germany': 8, 'Latvia': 2, 'Oman': 2}"
"Næstved BK","{'Denmark': 32, 'Spain': 2, 'Finland': 8, 'Ireland': 3, 'Iran, Islamic Republic of': 1, 'Norway': 4, 'Sweden': 4, 'England': 3, 'Northern Ireland': 3}"
"Newark Americans","{'Jersey': 15, 'America': 24}"
"K.S.V. Roeselare","{'Belgium': 10}"
"Kaizer Chiefs","{'Argentina': 2, 'Brazil': 2, 'Chile': 2, 'China': 2, 'Germany': 4, 'Egypt': 4, 'France': 4, 'Italy': 2, 'Jersey': 3, 'Korea, Republic of': 1, 'Malawi': 4, 'Oman': 6, 'Peru': 4, 'Portugal': 2, 'Romania': 9, 'Serbia': 4, 'United States': 2, 'South Africa': 150, 'Zambia': 6, 'England': 30, 'Scotland': 9, 'America': 6, 'South Korea': 3, 'Turkey': 6}"
"FC Porto B","{'Portugal': 60}"
"UD Salamanca","{'Brazil': 2, 'Spain': 34, 'Guinea': 2, 'Ireland': 3, 'Portugal': 2}"
"Club de Futbol Universidad de Costa Rica","{'Colombia': 2, 'Costa Rica': 42}"
"Canon Yaoundé","{'Cameroon': 46}"
"Motorlet Prague","{'Austria': 2, 'Czechia': 3, 'Hungary': 3, 'Slovakia': 4}"
"Adelaide City","{'Australia': 300, 'France': 2, 'Croatia': 14, 'New Zealand': 3, 'Oman': 2, 'Serbia': 2, 'Russia': 6}"
"Guiseley A.F.C.","{'England': 12}"
