"NK TOŠK Tešanj","{'Bosnia and Herzegovina': 44}"
"NK Dravograd","{'Slovenia': 34}"
"FC Lorient","{'Argentina': 2, 'Australia': 3, 'France': 30, 'Mali': 6, 'Slovakia': 2, 'Turkey': 3}"
"SK Jedinstvo Beograd","{'Croatia': 2, 'Serbia': 20, 'Yugoslavia': 12}"
"FC Spartak Plovdiv","{'Albania': 2, 'Armenia': 2, 'Bulgaria': 124, 'Germany': 2, 'Greece': 2, 'Iran, Islamic Republic of': 2, 'Italy': 4, 'Jersey': 3, 'Lithuania': 2, 'Netherlands': 2, 'Oman': 2, 'Portugal': 2}"
"Estudiantes de La Plata","{'Argentina': 152, 'Brazil': 2, 'Colombia': 6, 'Germany': 4, 'Spain': 2, 'Iran, Islamic Republic of': 1, 'Italy': 2, 'Jersey': 9, 'Peru': 2, 'Uruguay': 6, 'Scotland': 3, 'America': 30}"
"Porongos (:es:Centro Recreativo Porongos Fútbol Club","{}"
"Club Deportivo El Nacional","{'Brazil': 4, 'Congo': 2, 'Ecuador': 64, 'Italy': 2, 'Paraguay': 2}"
"Chiapas F.C.","{'Argentina': 12, 'Brazil': 4, 'Chile': 4, 'Colombia': 8, 'Mexico': 70, 'Paraguay': 2, 'Uruguay': 2, 'America': 15}"
"Bangu Atlético Clube","{'Argentina': 2, 'Brazil': 106, 'Israel': 2, 'Macao': 4, 'Uruguay': 4, 'Viet Nam': 1, 'America': 9}"
"CE Manresa","{'Congo': 10, 'Cuba': 2, 'Spain': 14, 'Guinea': 2, 'Equatorial Guinea': 2, 'Philippines': 2}"
"Degerfors IF","{'Hungary': 9, 'Montenegro': 3, 'Sweden': 80, 'England': 3, 'Scotland': 6}"
"Esporte Clube Novo Hamburgo","{'Brazil': 58, 'America': 3}"
"FC Groningen","{'Cyprus': 4, 'Iceland': 4, 'Italy': 2, 'Jersey': 3, 'Niger': 2, 'Nigeria': 2, 'Netherlands': 30, 'Oman': 2, 'Serbia': 4}"
"Club Always Ready","{'Bolivia, Plurinational State of': 24, 'Brazil': 2, 'Colombia': 2, 'Jersey': 3, 'Paraguay': 2, 'Venezuela, Bolivarian Republic of': 1, 'America': 15}"
"Parma F.C.","{'Albania': 6, 'China': 4, 'Cyprus': 2, 'France': 8, 'India': 2, 'Italy': 62, 'Oman': 2, 'America': 6}"
"U.S. Città di Palermo","{'Argentina': 2, 'Switzerland': 4, 'Cyprus': 2, 'Czechia': 3, 'Germany': 4, 'Denmark': 2, 'Spain': 4, 'France': 14, 'Israel': 2, 'Italy': 38, 'Jersey': 6, 'Monaco': 2, 'Slovakia': 2, 'Slovenia': 2, 'England': 9, 'America': 9, 'Turkey': 3}"
"PSV Eindhoven","{'Belgium': 2, 'Brazil': 6, 'Jersey': 9, 'Jordan': 2, 'Monaco': 4, 'Mali': 2, 'Netherlands': 54, 'United States': 4}"
"IFK Eskilstuna","{'Sweden': 12}"
"Esporte Clube XV de Novembro (Jaú)","{'Brazil': 20, 'America': 3}"
"Putra Samarinda F.C.","{'Indonesia': 140, 'Iran, Islamic Republic of': 1, 'Jersey': 9, 'Montenegro': 3, 'Wales': 3}"
"CP Mérida","{'Spain': 12, 'Oman': 6}"
"C.S. Cartaginés","{'Costa Rica': 100, 'Jersey': 3, 'Liberia': 4, 'United States': 2, 'England': 3, 'America': 15}"
"Cambridge United F.C.","{'United Kingdom': 2, 'Jordan': 2, 'England': 39, 'Wales': 3}"
"Køge BK","{'Denmark': 8}"
"FC Vaslui","{'Azerbaijan': 4, 'Bulgaria': 6, 'Bosnia and Herzegovina': 2, 'Brazil': 18, 'Switzerland': 2, 'Cyprus': 2, 'Czechia': 2, 'France': 2, 'Greece': 2, 'Honduras': 2, 'Italy': 4, 'Lithuania': 2, 'Latvia': 2, 'Moldova, Republic of': 4, 'Netherlands': 2, 'Oman': 180, 'Poland': 4, 'Portugal': 4, 'Romania': 246, 'Senegal': 2, 'Serbia': 10, 'Slovakia': 4, 'Zimbabwe': 18, 'Turkey': 3}"
"New York Field Club","{'America': 18}"
"ASK Kottingbrunn","{}"
"FC Barcelona Atlètic","{'Albania': 4, 'Andorra': 12, 'Argentina': 8, 'Bosnia and Herzegovina': 2, 'Brazil': 4, 'Canada': 3, 'China': 2, 'Cameroon': 8, 'Congo': 2, 'Cuba': 2, 'Cyprus': 2, 'Ecuador': 2, 'Spain': 288, 'France': 6, 'Guinea': 4, 'Gambia': 2, 'Honduras': 2, 'Croatia': 4, 'Hungary': 3, 'India': 2, 'Iran, Islamic Republic of': 2, 'Israel': 2, 'Italy': 2, 'Jordan': 2, 'Japan': 3, 'Korea, Republic of': 2, 'Morocco': 6, 'Mexico': 8, 'North Macedonia': 2, 'Montenegro': 3, 'Niger': 6, 'Nigeria': 6, 'Netherlands': 2, 'Paraguay': 2, 'Senegal': 4, 'Sierra Leone': 2, 'Serbia': 2, 'Uruguay': 2, 'United States': 3, 'Venezuela, Bolivarian Republic of': 2, 'Scotland': 3, 'America': 6, 'South Korea': 6}"
"FBC Internaples","{'Argentina': 16, 'Austria': 8, 'Bulgaria': 4, 'Brazil': 10, 'China': 2, 'Czechia': 1, 'Spain': 2, 'France': 20, 'Hungary': 9, 'Italy': 230, 'Jersey': 12, 'Japan': 6, 'Niger': 2, 'Nigeria': 2, 'Oman': 4, 'Peru': 4, 'Paraguay': 4, 'Chad': 2, 'Uruguay': 2, 'England': 3, 'America': 3, 'Yugoslavia': 6}"
"Sporting Kansas City","{'Canada': 3, 'Ireland': 3, 'Jersey': 30, 'Portugal': 2, 'Senegal': 2, 'United States': 16, 'Zimbabwe': 2, 'England': 15, 'America': 78}"
"SK Jugoslavija","{'Austria': 6, 'Hungary': 9, 'Jersey': 3, 'Mali': 10, 'Montenegro': 3, 'Serbia': 53, 'Slovakia': 2, 'England': 3, 'Yugoslavia': 66}"
"São Bento de Marília","{}"
"K.F.C. Germinal Beerschot","{'Austria': 2, 'Azerbaijan': 4, 'Belgium': 46, 'Canada': 3, 'Switzerland': 6, 'Germany': 2, 'France': 2, 'Faroe Islands': 3, 'Kenya': 2, 'Mali': 6, 'Netherlands': 4, 'Norway': 2, 'Oman': 2, 'Romania': 3, 'Scotland': 6}"
"Once Caldas","{'Argentina': 82, 'Bolivia, Plurinational State of': 1, 'Brazil': 12, 'Chile': 4, 'Colombia': 170, 'Ecuador': 6, 'Spain': 2, 'Japan': 3, 'Mexico': 4, 'Peru': 2, 'Portugal': 2, 'Paraguay': 8, 'Uruguay': 8, 'Venezuela, Bolivarian Republic of': 2, 'America': 18}"
"SC Bastia","{'Argentina': 2, 'Bosnia and Herzegovina': 2, 'Algeria': 6, 'France': 148, 'Hungary': 9, 'Jersey': 3, 'Monaco': 6, 'Netherlands': 4, 'Poland': 2, 'Portugal': 4, 'Yugoslavia': 3}"
"Saltillo Soccer","{'Mexico': 6, 'Sierra Leone': 2}"
"West Ham United F.C.","{'Argentina': 4, 'Austria': 6, 'Brazil': 4, 'Spain': 2, 'Finland': 2, 'France': 6, 'United Kingdom': 6, 'Gibraltar': 3, 'Croatia': 4, 'Ireland': 18, 'Iceland': 6, 'Israel': 2, 'Italy': 10, 'Jamaica': 3, 'Japan': 6, 'Monaco': 4, 'Mali': 2, 'New Zealand': 3, 'Oman': 6, 'Poland': 2, 'Slovakia': 2, 'Trinidad and Tobago': 2, 'England': 495, 'Scotland': 21, 'Wales': 3, 'Northern Ireland': 9, 'America': 15}"
"Ascoli Calcio 1898","{'France': 8, 'Italy': 12, 'Oman': 2, 'America': 3}"
"Persepolis F.C.","{'Afghanistan': 2, 'Honduras': 2, 'Croatia': 10, 'Iran, Islamic Republic of': 214, 'Iraq': 2, 'Jersey': 3, 'Japan': 3, 'Korea, Republic of': 1, 'Oman': 20, 'Portugal': 4, 'Qatar': 2, 'Saudi Arabia': 4, 'Thailand': 2, 'United States': 6, 'England': 3, 'South Korea': 3, 'Turkey': 3}"
"Étoile Filante de Lomé","{'Togo': 46}"
"UC Sampdoria","{'Brazil': 2, 'France': 6, 'Iran, Islamic Republic of': 2, 'Italy': 26, 'Jersey': 9, 'Serbia': 2}"
"Peterborough United F.C.","{'Australia': 3, 'United Kingdom': 2, 'Mali': 2, 'England': 21}"
"Angers SCO","{'Argentina': 2, 'Austria': 2, 'Switzerland': 2, 'Cameroon': 6, 'Algeria': 2, 'France': 132, 'Hungary': 3, 'Italy': 2, 'Jordan': 2, 'Oman': 4, 'Romania': 6, 'Serbia': 2, 'Slovakia': 4, 'Slovenia': 2, 'Tunisia': 4, 'Yugoslavia': 9}"
"Durban City F.C.","{'South Africa': 32, 'England': 15, 'Scotland': 3, 'America': 3}"
"FC Nantes","{'Argentina': 22, 'Armenia': 8, 'Belgium': 2, 'Bosnia and Herzegovina': 4, 'Brazil': 6, 'Cameroon': 2, 'Colombia': 2, 'Germany': 10, 'Algeria': 2, 'Spain': 2, 'France': 184, 'Croatia': 2, 'Italy': 2, 'Jordan': 2, 'Japan': 6, 'Morocco': 4, 'Monaco': 2, 'Moldova, Republic of': 1, 'Niger': 4, 'Nigeria': 4, 'Oman': 6, 'Poland': 4, 'Portugal': 4, 'Romania': 6, 'Serbia': 2, 'Slovakia': 4, 'Chad': 6, 'Tunisia': 4, 'United States': 2, 'Venezuela, Bolivarian Republic of': 1, 'England': 3, 'Scotland': 3}"
"SC Toulon","{'France': 14, 'Monaco': 10}"
"Halle","{'Belgium': 2, 'Germany': 6, 'Greenland': 3, 'Japan': 3, 'Netherlands': 4, 'England': 3}"
"St Mirren F.C.","{'Guinea': 4, 'Slovakia': 2, 'Sweden': 2, 'Scotland': 42}"
"New York Cosmos (1970-1985)","{'Argentina': 2, 'Australia': 57, 'Bermuda': 6, 'Brazil': 38, 'Canada': 12, 'China': 44, 'Germany': 10, 'United Kingdom': 2, 'Greece': 14, 'Hong Kong': 18, 'Indonesia': 20, 'Italy': 24, 'Jersey': 75, 'Japan': 30, 'Korea, Republic of': 23, 'Lithuania': 2, 'Malaysia': 12, 'Netherlands': 2, 'Peru': 2, 'Singapore': 12, 'United States': 30, 'South Africa': 4, 'England': 6, 'Scotland': 3, 'America': 240, 'Yugoslavia': 9, 'South Korea': 69, 'Turkey': 3}"
"Shanghai SIPG F.C.","{'Brazil': 2, 'China': 84, 'Ghana': 2, 'Greenland': 6, 'Haiti': 2, 'Thailand': 2, 'Samoa': 2}"
"Újpest FC","{'Belgium': 8, 'Colombia': 2, 'Spain': 2, 'Hungary': 54, 'Iran, Islamic Republic of': 2, 'North Macedonia': 2, 'Mali': 4, 'Montenegro': 3, 'Niger': 4, 'Nigeria': 4, 'Senegal': 2, 'Serbia': 8, 'England': 3, 'America': 3}"
"Calcio Como","{'Australia': 3, 'Austria': 4, 'Bulgaria': 4, 'Brazil': 2, 'France': 2, 'Ghana': 2, 'Indonesia': 2, 'Ireland': 6, 'Italy': 62, 'Oman': 2, 'Northern Ireland': 3}"
"Club Brugge KV","{'Austria': 2, 'Belgium': 104, 'Netherlands': 4, 'Oman': 2, 'England': 6}"
"S.C. Eendracht Aalst","{'Belgium': 84, 'Hungary': 3, 'Netherlands': 6, 'Senegal': 2, 'Yugoslavia': 3}"
"Sivasspor","{'Oman': 2, 'Turkey': 39}"
"Tharros","{'France': 2, 'Italy': 14, 'Oman': 12}"
"Racing Club de Montevideo","{'Uruguay': 90, 'America': 3}"
"SC Young Fellows Juventus","{'Switzerland': 10, 'Oman': 2}"
"Atlético Madrid","{'Argentina': 6, 'Austria': 4, 'Azerbaijan': 14, 'Brazil': 2, 'Czechia': 2, 'Germany': 4, 'Denmark': 2, 'Spain': 32, 'France': 4, 'United Kingdom': 12, 'India': 22, 'Iran, Islamic Republic of': 5, 'Israel': 24, 'Italy': 4, 'Jersey': 3, 'Monaco': 4, 'Moldova, Republic of': 1, 'Mexico': 2, 'Oman': 8, 'Pakistan': 14, 'Portugal': 6, 'Romania': 12, 'Singapore': 2, 'Uruguay': 4, 'United States': 8, 'England': 9, 'America': 3, 'Turkey': 3}"
"Talleres de Córdoba","{'Argentina': 38, 'Brazil': 2, 'Cuba': 2, 'France': 4, 'Iran, Islamic Republic of': 2, 'Paraguay': 2, 'Uruguay': 2, 'America': 30}"
"Foolad F.C.","{'Australia': 3, 'Brazil': 2, 'China': 4, 'Germany': 2, 'Iran, Islamic Republic of': 64, 'Qatar': 6}"
"Defensa y Justicia","{'Argentina': 16, 'Brazil': 2, 'Colombia': 2, 'Togo': 2, 'America': 57}"
"FC Kryvbas-2 Kryvyi Rih","{'Ukraine': 9}"
"RC Kouba","{'Burkina Faso': 3, 'Algeria': 68}"
"ADO Den Haag","{'Austria': 6, 'Belgium': 2, 'China': 2, 'Israel': 2, 'Italy': 2, 'Lithuania': 2, 'Mali': 2, 'Montenegro': 3, 'Netherlands': 76, 'Poland': 2, 'Serbia': 2, 'Slovakia': 4, 'England': 9, 'America': 15, 'Yugoslavia': 3}"
"Lunds BK","{'Sweden': 6}"
"Partick Thistle F.C.","{'Australia': 6, 'Spain': 2, 'Ireland': 3, 'Jersey': 9, 'Jordan': 4, 'Slovakia': 2, 'Scotland': 210, 'Northern Ireland': 3, 'America': 12}"
"Al Mokawloon Al Arab SC","{'Austria': 2, 'Cameroon': 2, 'Germany': 2, 'Egypt': 164, 'Ghana': 2, 'Sierra Leone': 2, 'Serbia': 2}"
"Fagiano Okayama","{'Japan': 63}"
"Cleveland Slavia","{}"
"Club Necaxa","{'Argentina': 6, 'Brazil': 6, 'Chile': 12, 'Germany': 2, 'Ecuador': 8, 'Spain': 2, 'Jersey': 3, 'Mexico': 192, 'Oman': 6, 'Peru': 8, 'El Salvador': 2, 'Suriname': 2, 'Uruguay': 6, 'England': 9, 'Scotland': 3, 'America': 24}"
"Lech Poznań II","{'Poland': 14}"
"Helmond Sport","{'Mali': 2, 'Netherlands': 76, 'England': 3}"
"Santos Laguna","{'Argentina': 34, 'Brazil': 16, 'Chile': 12, 'Colombia': 4, 'Ecuador': 6, 'Spain': 4, 'Honduras': 2, 'Iran, Islamic Republic of': 2, 'Jordan': 2, 'Mexico': 188, 'Oman': 6, 'Panama': 4, 'Portugal': 4, 'El Salvador': 2, 'Uruguay': 12, 'United States': 4, 'Venezuela, Bolivarian Republic of': 2, 'America': 15}"
"FK Spartak Subotica","{'Ghana': 2, 'Hong Kong': 2, 'Croatia': 2, 'Hungary': 9, 'Iran, Islamic Republic of': 2, 'Japan': 3, 'Kazakhstan': 2, 'Montenegro': 36, 'Oman': 2, 'Serbia': 95, 'Tanzania, United Republic of': 1, 'Yugoslavia': 135}"
"Wuppertaler SV","{'Austria': 6, 'Germany': 28, 'Ecuador': 2, 'Iran, Islamic Republic of': 3, 'Italy': 2, 'Oman': 2}"
"Rodongja Sports Club","{"Korea, Democratic People's Republic of": 2, 'North Korea': 6}"
"Free State Stars F.C.","{'Chile': 2, 'Congo': 6, 'Oman': 2, 'South Africa': 34, 'Zambia': 2}"
"Vissel Kobe","{'Japan': 123, 'Taiwan, Province of China': 1, 'England': 3}"
"Leeds United F.C.","{'Spain': 6, 'France': 2, 'United Kingdom': 2, 'England': 63, 'Scotland': 6, 'Turkey': 3}"
"Detroit Lightning","{'United States': 2}"
"FC Veszprém","{'Hungary': 9}"
"NK Zagreb","{'Albania': 4, 'Austria': 6, 'Belgium': 2, 'France': 2, 'Croatia': 334, 'Hungary': 3, 'Iran, Islamic Republic of': 2, 'Iceland': 4, 'Italy': 2, 'Jersey': 3, 'Norway': 2, 'Oman': 4, 'Romania': 6, 'Slovenia': 4, 'Scotland': 3, 'Yugoslavia': 21}"
"FC Krasnodar","{'Angola': 2, 'Albania': 2, 'Armenia': 10, 'Austria': 2, 'Azerbaijan': 2, 'Burkina Faso': 3, 'Bosnia and Herzegovina': 4, 'Belarus': 24, 'Cameroon': 4, 'Colombia': 4, 'Czechia': 1, 'Germany': 10, 'Ecuador': 4, 'Spain': 4, 'Estonia': 4, 'France': 6, 'Georgia': 12, 'Greece': 2, 'Croatia': 2, 'Hungary': 6, 'Iran, Islamic Republic of': 1, 'Iceland': 4, 'Kazakhstan': 2, 'Moldova, Republic of': 2, 'Malta': 2, 'Montenegro': 3, 'Netherlands': 2, 'Norway': 2, 'Oman': 12, 'Peru': 2, 'Poland': 4, 'Portugal': 2, 'Paraguay': 2, 'Romania': 3, 'Senegal': 2, 'Serbia': 20, 'Sweden': 14, 'Tajikistan': 2, 'Ukraine': 18, 'Uruguay': 2, 'Uzbekistan': 2, 'England': 3, 'America': 3, 'Turkey': 3}"
"Metalosport București","{}"
"Botafogo Futebol Clube (SP)","{'Argentina': 12, 'Antarctica': 3, 'Brazil': 42, 'Costa Rica': 8, 'Guatemala': 4, 'Oman': 4, 'Portugal': 2, 'America': 3}"
"Udinese","{'Argentina': 24, 'Austria': 2, 'Belgium': 4, 'Brazil': 18, 'Switzerland': 6, 'Chile': 6, 'Colombia': 4, 'Czechia': 3, 'Germany': 4, 'Denmark': 10, 'Egypt': 2, 'Spain': 4, 'France': 10, 'Ghana': 12, 'Greece': 2, 'Croatia': 4, 'Hungary': 36, 'Ireland': 6, 'Iraq': 2, 'Italy': 168, 'Jordan': 2, 'Morocco': 2, 'Niger': 2, 'Nigeria': 2, 'Poland': 2, 'Portugal': 2, 'Serbia': 6, 'Slovenia': 2, 'Sweden': 2, 'Samoa': 12, 'England': 3, 'Yugoslavia': 3}"
"Sona","{'Bangladesh': 2, 'Guinea': 4, 'India': 6, 'Italy': 2, 'Norway': 4, 'Nepal': 2, 'Oman': 2, 'Pakistan': 2, 'Panama': 6, 'Papua New Guinea': 4, 'Romania': 3, 'America': 3}"
"Toros Neza","{'Mexico': 8}"
"Real Madrid","{'Argentina': 4, 'Austria': 4, 'Brazil': 12, 'Switzerland': 2, 'Chile': 2, 'Colombia': 4, 'Egypt': 4, 'Spain': 74, 'France': 4, 'India': 4, 'Iran, Islamic Republic of': 2, 'Italy': 2, 'Jersey': 3, 'Japan': 3, 'Oman': 4, 'Peru': 2, 'Ukraine': 6, 'England': 9, 'America': 45}"
"UE Lleida","{'Bosnia and Herzegovina': 4, 'Denmark': 2, 'Spain': 94, 'France': 6, 'Croatia': 2, 'Montserrat': 3, 'Niger': 2, 'Nigeria': 2, 'Oman': 2, 'Paraguay': 2, 'Romania': 3, 'Venezuela, Bolivarian Republic of': 2}"
"Shabab Al Ahli Club","{'United Arab Emirates': 15, 'Egypt': 2, 'Spain': 6, 'Iran, Islamic Republic of': 1, 'Mali': 2, 'Oman': 2, 'Romania': 3, 'Chad': 2}"
"FC Solothurn","{'Switzerland': 14}"
"Al Ahli SC (Doha)","{'Bahrain': 2, 'Spain': 2, 'India': 2, 'Kuwait': 2, 'Montenegro': 3, 'Qatar': 54, 'Sudan': 4}"
"Real Sporting de Gijón","{'Belgium': 4, 'Spain': 32, 'Italy': 2, 'Jersey': 6, 'Portugal': 2}"
"SfB-Oure FA","{'Costa Rica': 2, 'Denmark': 58, 'Faroe Islands': 3, 'Jersey': 3, 'Mali': 2}"
"NorthEast United","{'Bolivia, Plurinational State of': 2, 'Spain': 4, 'Ghana': 4, 'India': 254, 'Iran, Islamic Republic of': 1, 'Israel': 2, 'Mali': 2, 'Mauritania': 2, 'Niger': 2, 'Nigeria': 2, 'New Zealand': 6, 'Portugal': 8, 'Chad': 2, 'Venezuela, Bolivarian Republic of': 1, 'Samoa': 4, 'America': 6, 'Turkey': 3}"
"Al-Wahda (Mecca)","{'Georgia': 3, 'Moldova, Republic of': 1, 'Mali': 4, 'Oman': 2, 'Romania': 3, 'Saudi Arabia': 18}"
"Racing Club de Strasbourg Alsace","{'Armenia': 2, 'Austria': 6, 'Switzerland': 2, 'Germany': 10, 'Spain': 6, 'France': 132, 'India': 6, 'Italy': 2, 'Jersey': 15, 'Luxembourg': 4, 'Monaco': 6, 'Mali': 4, 'Netherlands': 4, 'Paraguay': 8, 'Chad': 4, 'America': 6, 'Yugoslavia': 6}"
"Jacksonville Tea Men","{'Canada': 6, 'Costa Rica': 2, 'Greece': 4, 'United States': 8, 'England': 12, 'America': 81}"
"Shanghai Shenhua F.C.","{'Argentina': 8, 'Australia': 6, 'Bulgaria': 2, 'Brazil': 8, 'China': 184, 'Congo': 2, 'Colombia': 4, 'Spain': 14, 'France': 6, 'Greenland': 69, 'Croatia': 2, 'Indonesia': 2, 'Korea, Republic of': 1, 'Poland': 2, 'Singapore': 2, 'Serbia': 4, 'Thailand': 2, 'Uruguay': 2, 'Viet Nam': 1, 'England': 9, 'South Korea': 3}"
"Al Sadd SC","{'United Arab Emirates': 3, 'Bosnia and Herzegovina': 6, 'Brazil': 40, 'China': 2, 'Algeria': 6, 'Ecuador': 4, 'Egypt': 2, 'Spain': 10, 'Croatia': 2, 'India': 12, 'Iran, Islamic Republic of': 5, 'Iraq': 16, 'Japan': 15, 'Korea, Republic of': 3, 'Kuwait': 12, 'Lebanon': 4, 'Morocco': 12, 'Mali': 2, 'Malaysia': 3, 'Netherlands': 4, 'Oman': 4, 'Peru': 6, "Korea, Democratic People's Republic of": 1, 'Portugal': 2, 'Qatar': 394, 'Romania': 6, 'Saudi Arabia': 4, 'Sudan': 10, 'Serbia': 2, 'Syrian Arab Republic': 1, 'Uruguay': 6, 'Viet Nam': 1, 'England': 3, 'South Korea': 9, 'North Korea': 3, 'Turkey': 6}"
"FC Ingolstadt 04","{'Germany': 12}"
"Harrison S.C.","{'Jersey': 21, 'America': 30}"
"Stade Brestois 29","{'Argentina': 4, 'Brazil': 2, 'France': 54, 'Jordan': 2, 'Monaco': 4, 'Mali': 2, 'Paraguay': 4, 'England': 3, 'America': 6, 'Yugoslavia': 3}"
"Novara Calcio","{'Argentina': 2, 'Chile': 4, 'France': 2, 'Hungary': 6, 'Italy': 68}"
"Whitecaps FC 2","{'Canada': 9, 'United States': 2}"
"FC Cincinnati","{'Argentina': 2, 'Switzerland': 2, 'Costa Rica': 2, 'France': 6, 'United Kingdom': 2, 'Ghana': 6, 'India': 2, 'Israel': 2, 'Jamaica': 9, 'Jersey': 9, 'Mexico': 2, 'Mali': 2, 'Netherlands': 4, 'Oman': 6, 'Chad': 2, 'United States': 8, 'South Africa': 2, 'America': 27}"
"USL Dunkerque","{'France': 14}"
"Clube de Regatas do Flamengo","{'Argentina': 6, 'Brazil': 342, 'Chile': 34, 'Germany': 2, 'Ecuador': 2, 'France': 2, 'Iran, Islamic Republic of': 1, 'Italy': 2, 'Mexico': 2, 'Niger': 2, 'Nigeria': 2, 'Netherlands': 6, 'Peru': 2, 'Paraguay': 2, 'Qatar': 2, 'Serbia': 2, 'Uruguay': 10, 'United States': 4, 'England': 3, 'America': 216}"
"Hellas Verona","{'Australia': 9, 'Denmark': 6, 'France': 12, 'Greece': 2, 'Italy': 38, 'Jersey': 3, 'Korea, Republic of': 3, 'Mexico': 4, 'Oman': 2, 'Serbia': 6, 'South Korea': 9}"
"Torino Calcio","{'Aruba': 3, 'Argentina': 2, 'Austria': 2, 'Brazil': 2, 'Switzerland': 4, 'France': 16, 'Hungary': 6, 'Ireland': 3, 'Italy': 72, 'Jersey': 3, 'Liechtenstein': 4, 'Netherlands': 2, 'Oman': 6, 'Peru': 10, 'America': 6}"
"Bursaspor","{'Germany': 6, 'Hungary': 3, 'Iran, Islamic Republic of': 1, 'Oman': 10, 'Romania': 6, 'England': 3, 'Yugoslavia': 12, 'Turkey': 201}"
"Persepolis","{'Armenia': 2, 'China': 2, 'Cyprus': 2, 'Egypt': 4, 'Spain': 2, 'Greece': 10, 'Iran, Islamic Republic of': 88, 'Oman': 6, 'Portugal': 4, 'England': 3, 'America': 3}"
"A.C.R. Messina","{'France': 6, 'Italy': 16, 'Monaco': 2, 'Peru': 2, 'England': 3, 'Yugoslavia': 3}"
"Grêmio Esportivo Novorizontino","{'Brazil': 10}"
"Chicago Fire FC","{'Argentina': 2, 'Belgium': 2, 'Brazil': 2, 'Canada': 3, 'Switzerland': 4, 'Colombia': 2, 'Costa Rica': 2, 'France': 6, 'Italy': 2, 'Jamaica': 3, 'Jersey': 33, 'Mexico': 6, 'Mali': 2, 'Oman': 2, 'El Salvador': 4, 'Serbia': 4, 'Chad': 2, 'Uruguay': 2, 'United States': 20, 'Saint Vincent and the Grenadines': 3, 'England': 30, 'America': 42}"
"Royal Antwerp FC","{'Belgium': 40, 'China': 6, 'Cayman Islands': 3, 'Gibraltar': 3, 'Gambia': 2, 'Ireland': 12, 'Monaco': 4, 'Mali': 6, 'Netherlands': 22, 'Oman': 2, 'Romania': 3, 'Chad': 2, 'Togo': 2, 'England': 66, 'Scotland': 6, 'Northern Ireland': 6}"
"Norwich City F.C.","{'United Arab Emirates': 3, 'Australia': 3, 'Bermuda': 3, 'Finland': 2, 'Greece': 2, 'Hong Kong': 2, 'India': 2, 'North Macedonia': 2, 'Chad': 4, 'Thailand': 2, 'United States': 2, 'England': 45}"
"Gorleston F.C.","{'Poland': 2, 'England': 66}"
"Reconvilier","{'Switzerland': 30, 'France': 2, 'Liechtenstein': 4, 'Oman': 4}"
"Al-Rayyan SC","{'Iraq': 6, 'Kuwait': 8, 'Netherlands': 2, 'Oman': 8, 'Qatar': 124, 'Sudan': 2}"
"Wildcats A.C.","{}"
"SC Internacional","{'United Arab Emirates': 3, 'Argentina': 4, 'Brazil': 78, 'Canada': 3, 'Switzerland': 2, 'Chile': 6, 'Congo': 2, 'Colombia': 2, 'Costa Rica': 2, 'Germany': 2, 'Ecuador': 4, 'Spain': 6, 'Italy': 2, 'Japan': 9, 'Mexico': 12, 'Paraguay': 4, 'Chad': 2, 'Uruguay': 6, 'Venezuela, Bolivarian Republic of': 1, 'Scotland': 3, 'America': 96, 'Yugoslavia': 3}"
"Syrio e Libanez","{}"
"Le Havre AC","{'France': 30, 'Slovenia': 20, 'Chad': 2, 'United States': 10}"
"Sportclub Enschede","{'Netherlands': 10}"
"Lille OSC","{'Argentina': 2, 'Belgium': 10, 'Bosnia and Herzegovina': 6, 'Canada': 3, 'Chile': 2, 'Cameroon': 2, 'France': 362, 'Croatia': 2, 'Israel': 2, 'Jersey': 30, 'Luxembourg': 4, 'Monaco': 12, 'Mozambique': 2, 'New Zealand': 6, 'Poland': 2, 'Portugal': 6, 'Senegal': 6, 'Sweden': 2, 'England': 6, 'Turkey': 6}"
"A.S. Roma","{'Albania': 2, 'Argentina': 14, 'Bosnia and Herzegovina': 2, 'Czechia': 2, 'Germany': 2, 'Spain': 6, 'France': 70, 'Greece': 4, 'Hungary': 18, 'Iran, Islamic Republic of': 1, 'Italy': 210, 'Oman': 42, 'Portugal': 6, 'Qatar': 8, 'Sweden': 12, 'Uruguay': 2, 'United States': 4, 'England': 18, 'America': 15, 'Yugoslavia': 3}"
"Queen's Park Rangers F.C.","{'Argentina': 2, 'Australia': 6, 'Brazil': 2, 'Spain': 8, 'United Kingdom': 4, 'Grenada': 3, 'India': 6, 'Ireland': 24, 'Jamaica': 9, 'Jordan': 2, 'Monaco': 2, 'Malaysia': 21, 'Niger': 2, 'Nigeria': 2, 'Netherlands': 8, 'Norway': 2, 'Portugal': 2, 'Sierra Leone': 2, 'United States': 4, 'Virgin Islands, British': 1, 'England': 210, 'Scotland': 3, 'Wales': 3, 'Northern Ireland': 12}"
"Phoenix Rising FC","{'Azerbaijan': 2, 'Brazil': 2, 'China': 4, 'Spain': 2, 'Ghana': 6, 'India': 2, 'Jamaica': 9, 'Jersey': 9, 'Mexico': 8, 'Mali': 4, 'New Zealand': 3, 'United States': 8, 'England': 9, 'America': 15, 'Turkey': 3}"
"Al-Khor SC","{'Iraq': 6, 'Oman': 6, 'Qatar': 40}"
"Aceh United F.C.","{'Indonesia': 32, 'Jersey': 18}"
